file: data/0052503c-2849-4f41-ab51-db382103690c.wav
compressed_file_path: data/0052503c-2849-4f41-ab51-db382103690c.wav.brainwire
         21811696 function calls (21789927 primitive calls) in 9.685 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   493420    0.043    0.000    0.043    0.000 function_base.py:3840(_median_dispatcher)
        1    0.040    0.040    0.042    0.042 process_signal.py:525(convert_encoded_data_to_byte_string)
      423    0.017    0.000    0.042    0.000 doccer.py:13(docformat)
        2    0.000    0.000    0.039    0.020 accessors.py:1(<module>)
      129    0.001    0.000    0.039    0.000 _distn_infrastructure.py:821(_construct_doc)
        1    0.000    0.000    0.038    0.038 compute.py:1(<module>)
   493426    0.038    0.000    0.038    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   493420    0.037    0.000    0.037    0.000 fromnumeric.py:658(_partition_dispatcher)
    98932    0.036    0.000    0.036    0.000 {built-in method numpy.array}
       52    0.000    0.000    0.033    0.001 _axis_nan_policy.py:413(axis_nan_policy_decorator)
        1    0.000    0.000    0.033    0.033 pyarrow.py:1(<module>)
     1445    0.006    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     1802    0.005    0.000    0.032    0.000 textwrap.py:419(dedent)
576872/576215    0.031    0.000    0.031    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.031    0.031 iterative.py:1(<module>)
        2    0.000    0.000    0.030    0.015 array.py:1(<module>)
        1    0.000    0.000    0.029    0.029 compute.py:307(_make_global_functions)
      261    0.000    0.000    0.029    0.000 compute.py:291(_wrap_function)
        1    0.000    0.000    0.028    0.028 _windows.py:1(<module>)
       52    0.000    0.000    0.028    0.001 _docscrape.py:562(__init__)
       52    0.000    0.000    0.024    0.000 _docscrape.py:140(__init__)
        1    0.000    0.000    0.023    0.023 _distn_infrastructure.py:1(<module>)
        1    0.022    0.022    0.022    0.022 encode:66(determine_hex_freq)
        2    0.000    0.000    0.021    0.011 indexing.py:1(<module>)
      261    0.001    0.000    0.020    0.000 compute.py:121(_decorate_compute_function)
      876    0.019    0.000    0.019    0.000 {built-in method io.open_code}
      667    0.000    0.000    0.019    0.000 inspect.py:3278(signature)
      667    0.000    0.000    0.018    0.000 inspect.py:3024(from_callable)
     2219    0.001    0.000    0.018    0.000 __init__.py:272(_compile)
 1170/671    0.003    0.000    0.018    0.000 inspect.py:2428(_signature_from_callable)
        1    0.000    0.000    0.017    0.017 numerictypes.py:1(<module>)
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
       52    0.000    0.000    0.017    0.000 _docscrape.py:371(_parse)
        1    0.000    0.000    0.017    0.017 _minimize.py:1(<module>)
       92    0.000    0.000    0.016    0.000 _compiler.py:738(compile)
        2    0.000    0.000    0.016    0.008 _base.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _morestats.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _type_aliases.py:1(<module>)
      246    0.000    0.000    0.016    0.000 __init__.py:225(compile)
       98    0.000    0.000    0.015    0.000 compute.py:114(_scrape_options_class_doc)
        1    0.000    0.000    0.015    0.015 _pickle.py:1(<module>)
       98    0.000    0.000    0.015    0.000 docscrape.py:146(__init__)
        1    0.000    0.000    0.014    0.014 py3k.py:1(<module>)
      394    0.002    0.000    0.014    0.000 _util.py:377(getfullargspec_no_self)
     3394    0.013    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.013    0.013 defmatrix.py:1(<module>)
        2    0.000    0.000    0.013    0.007 linalg.py:1(<module>)
      440    0.008    0.000    0.013    0.000 doccer.py:180(indentcount_lines)
     3945    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.012    0.012 multiarray.py:1(<module>)
     1065    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        9    0.000    0.000    0.012    0.001 base.py:1(<module>)
     3960    0.012    0.000    0.012    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.011    0.011 _discrete_distns.py:1(<module>)
        1    0.000    0.000    0.011    0.011 overrides.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _root.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _sputils.py:1(<module>)
      671    0.003    0.000    0.011    0.000 inspect.py:2333(_signature_from_function)
        1    0.000    0.000    0.011    0.011 _testutils.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _linprog.py:1(<module>)
     1802    0.010    0.000    0.010    0.000 {method 'findall' of 're.Pattern' objects}
        3    0.000    0.000    0.010    0.003 _util.py:1(<module>)
        1    0.000    0.000    0.010    0.010 describe.py:1(<module>)
       92    0.000    0.000    0.010    0.000 _parser.py:972(parse)
      270    0.001    0.000    0.010    0.000 _decorators.py:363(decorator)
   282/92    0.001    0.000    0.010    0.000 _parser.py:449(_parse_sub)
      129    0.001    0.000    0.010    0.000 _distn_infrastructure.py:740(_construct_argparser)
   326/96    0.004    0.000    0.010    0.000 _parser.py:509(_parse)
  390/321    0.000    0.000    0.010    0.000 typing.py:352(inner)
        1    0.000    0.000    0.009    0.009 _array_api.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
       20    0.000    0.000    0.009    0.000 _distn_infrastructure.py:3260(__init__)
        1    0.000    0.000    0.009    0.009 series.py:1(<module>)
      314    0.001    0.000    0.009    0.000 _docscrape.py:195(_read_to_next_section)
        3    0.000    0.000    0.009    0.003 datetimes.py:1(<module>)
      314    0.000    0.000    0.009    0.000 _docscrape.py:206(_read_sections)
        3    0.000    0.000    0.009    0.003 _basic.py:1(<module>)
     1752    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
 5700/150    0.004    0.000    0.009    0.000 copy.py:128(deepcopy)
      143    0.000    0.000    0.009    0.000 _decorators.py:484(__call__)
        2    0.000    0.000    0.008    0.004 format.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _json.py:1(<module>)
        1    0.000    0.000    0.008    0.008 ewm.py:1(<module>)
  300/150    0.001    0.000    0.008    0.000 copy.py:227(_deepcopy_dict)
     7495    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.008    0.004 categorical.py:1(<module>)
       98    0.000    0.000    0.008    0.000 docscrape.py:384(_parse)
        1    0.000    0.000    0.008    0.008 _minpack_py.py:1(<module>)
        8    0.000    0.000    0.008    0.001 common.py:1(<module>)
      261    0.001    0.000    0.007    0.000 compute.py:268(_make_signature)
       27    0.000    0.000    0.007    0.000 dataclasses.py:1219(wrap)
       27    0.001    0.000    0.007    0.000 dataclasses.py:884(_process_class)
      129    0.000    0.000    0.007    0.000 _distn_infrastructure.py:726(_attach_argparser_methods)
      109    0.000    0.000    0.007    0.000 _distn_infrastructure.py:1901(_attach_methods)
        1    0.000    0.000    0.007    0.007 _multicomp.py:1(<module>)
        1    0.000    0.000    0.007    0.007 algorithms.py:1(<module>)
     1934    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:392(cached)
     1556    0.001    0.000    0.007    0.000 __init__.py:178(sub)
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
        1    0.000    0.000    0.006    0.006 string_.py:1(<module>)
    15324    0.006    0.000    0.006    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.006    0.006 _multivariate.py:1(<module>)
        3    0.000    0.000    0.006    0.002 numeric.py:1(<module>)
     1135    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1058    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        3    0.000    0.000    0.006    0.002 util.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
     3375    0.003    0.000    0.006    0.000 inspect.py:2686(__init__)
       92    0.000    0.000    0.006    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.006    0.006 _rotation_groups.py:1(<module>)
     1411    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       20    0.000    0.000    0.006    0.000 _distn_infrastructure.py:3321(_construct_docstrings)
        1    0.000    0.000    0.006    0.006 testing.py:1(<module>)
     1198    0.002    0.000    0.005    0.000 _docscrape.py:68(read_to_condition)
     1518    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       27    0.000    0.000    0.005    0.000 dataclasses.py:1202(dataclass)
        1    0.000    0.000    0.005    0.005 _qmc.py:1(<module>)
        2    0.000    0.000    0.005    0.003 _matfuncs.py:1(<module>)
        1    0.005    0.005    0.005    0.005 process_signal.py:353(create_encoded_data)
        2    0.000    0.000    0.005    0.003 dtypes.py:1(<module>)
        2    0.000    0.000    0.005    0.003 _misc.py:1(<module>)
        1    0.000    0.000    0.005    0.005 readers.py:1(<module>)
      935    0.000    0.000    0.005    0.000 _docscrape.py:78(read_to_next_empty_line)
        1    0.000    0.000    0.005    0.005 distance.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _shgo.py:1(<module>)
     2221    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     9312    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
       79    0.003    0.000    0.005    0.000 inspect.py:867(cleandoc)
        1    0.000    0.000    0.005    0.005 _ode.py:1(<module>)
        3    0.000    0.000    0.005    0.002 accessor.py:1(<module>)
  151/142    0.000    0.000    0.005    0.000 typing.py:479(__getitem__)
        1    0.000    0.000    0.005    0.005 config.py:1(<module>)
        1    0.000    0.000    0.005    0.005 eval.py:1(<module>)
     1566    0.003    0.000    0.005    0.000 inspect.py:2972(__init__)
      142    0.000    0.000    0.005    0.000 typing.py:658(Union)
3376/3021    0.002    0.000    0.005    0.000 {built-in method __new__ of type object at 0x102b855f0}
      104    0.001    0.000    0.005    0.000 _docscrape.py:218(_parse_param_list)
        1    0.000    0.000    0.005    0.005 docscrape.py:1(<module>)
       93    0.002    0.000    0.005    0.000 __init__.py:350(namedtuple)
      129    0.000    0.000    0.005    0.000 _distn_infrastructure.py:674(__init__)
        1    0.000    0.000    0.005    0.005 masked.py:1(<module>)
        1    0.000    0.000    0.004    0.004 frame.py:509(DataFrame)
   616/92    0.002    0.000    0.004    0.000 _compiler.py:37(_compile)
     9388    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.004    0.004 arpack.py:1(<module>)
     1567    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      106    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      324    0.001    0.000    0.004    0.000 typing.py:1353(__init__)
       52    0.000    0.000    0.004    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.004    0.004 array_ops.py:1(<module>)
     7495    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       97    0.000    0.000    0.004    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.004    0.004 _entropy.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _filters.py:1(<module>)
    21986    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.004    0.002 interval.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ivp.py:1(<module>)
       98    0.001    0.000    0.004    0.000 docscrape.py:228(_parse_param_list)
        3    0.000    0.000    0.004    0.001 ops.py:1(<module>)
    19692    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
    85794    0.004    0.000    0.004    0.000 {method 'to_bytes' of 'int' objects}
        1    0.000    0.000    0.004    0.004 _linprog_ip.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _svds.py:1(<module>)
      270    0.000    0.000    0.004    0.000 _decorators.py:387(<listcomp>)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 generic.py:244(NDFrame)
      987    0.001    0.000    0.004    0.000 _docscrape.py:168(_is_at_section)
        1    0.000    0.000    0.004    0.004 datetime.py:1(<module>)
        1    0.000    0.000    0.004    0.004 minimize_trustregion_constr.py:1(<module>)
      106    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.004    0.004 _csr.py:1(<module>)
        1    0.000    0.000    0.004    0.004 process_signal.py:418(preprocess_signal)
        1    0.000    0.000    0.003    0.003 _optimize.py:1(<module>)
       22    0.000    0.000    0.003    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.003    0.003 wavfile.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
       41    0.000    0.000    0.003    0.000 doccer.py:225(decorate)
      317    0.000    0.000    0.003    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.003    0.003 _svdp.py:1(<module>)
        1    0.000    0.000    0.003    0.003 tz.py:1(<module>)
        2    0.000    0.000    0.003    0.002 datetimelike.py:1(<module>)
     1086    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     1058    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.003    0.003 _rvs_sampling.py:1(<module>)
        4    0.000    0.000    0.003    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.003    0.003 threadpoolctl.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _mstats_basic.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _hypotests.py:1(<module>)
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _linprog_util.py:1(<module>)
        2    0.000    0.000    0.003    0.001 _aliases.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numpy_.py:1(<module>)
    39617    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _helper.py:1(<module>)
      638    0.001    0.000    0.003    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _linprog_highs.py:1(<module>)
     1752    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.003    0.003 _base.py:1435(ExcelFile)
        1    0.000    0.000    0.003    0.003 _fitpack_impl.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sampling.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _mio5.py:1(<module>)
        1    0.000    0.000    0.003    0.003 engines.py:1(<module>)
        2    0.000    0.000    0.003    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 apply.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
     3568    0.002    0.000    0.003    0.000 enum.py:686(__call__)
     6436    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _remove_redundancy.py:1(<module>)
      355    0.002    0.000    0.002    0.000 enum.py:242(__set_name__)
      876    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      144    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 _codata.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lsq_linear.py:1(<module>)
      778    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 pydoc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _array_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _measurements.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _signaltools.py:3510(detrend)
        1    0.000    0.000    0.002    0.002 merge.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
        2    0.000    0.000    0.002    0.001 arraysetops.py:138(unique)
        2    0.000    0.000    0.002    0.001 arraysetops.py:323(_unique1d)
     1058    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 process_signal.py:671(write_file_bytes)
       93    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.002    0.002 _arffread.py:1(<module>)
        1    0.000    0.000    0.002    0.002 array_manager.py:1(<module>)
    26175    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       52    0.000    0.000    0.002    0.000 _docscrape.py:580(__str__)
        1    0.000    0.000    0.002    0.002 uarray.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
     2221    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
        7    0.002    0.000    0.002    0.000 {method 'sort' of 'numpy.ndarray' objects}
      499    0.001    0.000    0.002    0.000 inspect.py:2039(_signature_bound_method)
        1    0.000    0.000    0.002    0.002 contingency.py:1(<module>)
       63    0.000    0.000    0.002    0.000 _internal.py:25(inner)
        1    0.000    0.000    0.002    0.002 _parser.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _axis_nan_policy.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _pep440.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.002    0.002 asserters.py:1(<module>)
       27    0.000    0.000    0.002    0.000 dataclasses.py:528(_init_fn)
        1    0.002    0.002    0.002    0.002 process_signal.py:931(rle_bit_compression)
      325    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
     2221    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      633    0.000    0.000    0.002    0.000 inspect.py:3040(replace)
        1    0.002    0.002    0.002    0.002 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.002    0.002 least_squares.py:1(<module>)
       86    0.000    0.000    0.002    0.000 typing.py:485(__getitem__)
      263    0.000    0.000    0.002    0.000 _docscrape.py:552(dedent_lines)
        1    0.000    0.000    0.002    0.002 series.py:263(Series)
      311    0.000    0.000    0.002    0.000 docscrape.py:558(dedent_lines)
        2    0.000    0.000    0.002    0.001 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 groupby.py:1(<module>)
    33766    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       98    0.000    0.000    0.002    0.000 docscrape.py:362(_parse_summary)
       52    0.000    0.000    0.002    0.000 _docscrape.py:526(__str__)
     2566    0.001    0.000    0.002    0.000 typing.py:1297(__setattr__)
        1    0.000    0.000    0.002    0.002 _sampling.py:1(<module>)
        1    0.000    0.000    0.002    0.002 blas.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _rgi.py:1(<module>)
      439    0.001    0.000    0.002    0.000 docscrape.py:74(read_to_condition)
      278    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
       84    0.000    0.000    0.002    0.000 typing.py:708(Literal)
        1    0.000    0.000    0.002    0.002 interpolative.py:1(<module>)
       15    0.000    0.000    0.002    0.000 _bunch.py:32(_make_tuple_bunch)
      122    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      410    0.001    0.000    0.002    0.000 enum.py:365(__setitem__)
        1    0.000    0.000    0.002    0.002 _root_scalar.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _trustregion_krylov.py:1(<module>)
       52    0.000    0.000    0.002    0.000 _docscrape.py:349(_parse_summary)
        1    0.000    0.000    0.002    0.002 _lil.py:1(<module>)
      106    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.002    0.002 _pep440.py:285(Version)
        2    0.000    0.000    0.002    0.001 _backend.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _quadpack_py.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _idl.py:1(<module>)
     7704    0.002    0.000    0.002    0.000 {method 'tobytes' of 'numpy.generic' objects}
        1    0.000    0.000    0.002    0.002 _mannwhitneyu.py:1(<module>)
        4    0.001    0.000    0.002    0.000 _codata.py:1503(parse_constants_2002to2014)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
      196    0.000    0.000    0.002    0.000 docscrape.py:216(_read_sections)
        3    0.000    0.000    0.002    0.001 sysconfig.py:710(get_config_var)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _odepack_py.py:1(<module>)
      5/4    0.000    0.000    0.002    0.000 sysconfig.py:629(get_config_vars)
     1833    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      601    0.000    0.000    0.002    0.000 typing.py:694(<genexpr>)
     1135    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
       19    0.000    0.000    0.002    0.000 _decorators.py:294(decorate)
        1    0.000    0.000    0.002    0.002 _strptime.py:1(<module>)
       17    0.000    0.000    0.002    0.000 typing.py:2874(__new__)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
     7954    0.001    0.000    0.002    0.000 _docscrape.py:65(eof)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1380(__getitem__)
      261    0.001    0.000    0.002    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.002    0.002 accessor.py:157(StringMethods)
        1    0.000    0.000    0.002    0.002 _kde.py:1(<module>)
      876    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
